id;libelle_article;caracteristique;niveau_alerte;commentaire;stock;created_at;update_at
1;Buckinghamshire;Licensed;39038;throughput b Sleek;1754;2022-01-11;2022-01-10
2;firewall;maroon system;71206;fuchsia;62389;2022-01-11;2022-01-10
3;Pizza Tonga;b Money bifurcated;82178;program HTTP XSS;71872;2022-01-11;2022-01-10
4;Bénin magenta;enhance;88225;deposit SDD Cambridgeshire;84135;2022-01-11;2022-01-10
5;a global grow;Designer white Small;73314;du matrix transmit;39616;2022-01-10;2022-01-11
6;Berkshire;yellow Berkshire web-enabled;81480;Concrete;29086;2022-01-10;2022-01-10
7;d'Abbeville foreground;invoice;76711;bandwidth Tools;17688;2022-01-10;2022-01-11
8;Cambridgeshire;circuit;13882;time-frame Royale Huchette;25115;2022-01-10;2022-01-11
9;Berkshire;Handmade Wooden;80582;withdrawal Plastic Persistent;35959;2022-01-11;2022-01-11
10;leading-edge Midi-Pyrénées;Borders;24216;generating Lorraine;12679;2022-01-11;2022-01-10
