id;caracteristique;quantite_article;numero_serie;status
1;B2C Analyste intermediate;42493;Sleek compressing programming;68521
2;feed blue;80031;drive systems;78004
3;Provence-Alpes-Côte Sleek back;29697;Bonaparte Riel;28154
4;Cheese Dinar Movies;65456;Fuerte b real-time;62890
5;impactful Keyboard override;57904;Handcrafted programming bandwidth;95761
6;c Granite Team-oriented;66627;deposit enhance niches;64709
7;Shoes Bourgogne;95728;Incredible Wooden;81170
8;sexy Borders Savings;76666;Irak architecture;20583
9;bus;40387;quantifying Mexique du;62474
10;engineer copying;7855;Fresh;20549
